email,company,website,city,state,profession
newagedentistry@outlook.com,"New Age Dentistry",http://newagedentistryabq.com,Albuquerque,"New Mexico","Dental clinic"
dentistryofalbuquerque@gmail.com,"Dentistry of Albuquerque",http://www.dentistryofalbuquerque.com,Albuquerque,"New Mexico","Dental clinic"
walbpainls@aol.com,"Cosmetic Dentistry of New Mexico",http://www.cosmeticdentistryofnewmexico.com,Albuquerque,"New Mexico",Dentist
terrygomezdds@gmail.com,"Terry Gomez DDS PC",http://terrygomezdds.com,Albuquerque,"New Mexico",Dentist
peachtreedental@gmail.com,"Peach Tree Dental",http://peachtreedmd.com,Albuquerque,"New Mexico",Dentist
fcldental@gmail.com,"Dr. Fook C. Lee DDS",http://fcleedentalnewmexico.com,Albuquerque,"New Mexico",Dentist
southvalleychildrens@gmail.com,"South Valley Childrens Dentistry & Orthodontics",https://southvalleychildrensdentistry.com,Albuquerque,"New Mexico","Paediatric Dentist"
abqgentledentistry@gmail.com,"ABQ Gentle Dentistry LLC",http://albuquerquegentledentist.com,Albuquerque,"New Mexico",Dentist
jumbodentistry@gmail.com,"GS Dental: Fred Giombolini DDS Ryan Sill DMD",http://www.gsdentalnm.com,Albuquerque,"New Mexico",Dentist
abettersmiledentistry@gmail.com,"A Better Smile Dentistry",https://www.abettersmiledentistry.com,Albuquerque,"New Mexico",Dentist
abqwholisticdentistry@gmail.com,"ABQ Dentistry and Wellness",http://www.abqwholisticdentistry.com,Albuquerque,"New Mexico",Dentist
dentalwellnesspc@gmail.com,"Dental Wellness Fielfer Murga DDS",https://www.dentalwellnessabq.com,Albuquerque,"New Mexico",Dentist
coppercanyonfamily@gmail.com,"Copper Canyon Family Dentistry",http://www.coppercanyonfamilydentistry.com,Albuquerque,"New Mexico",Dentist
honesttoothappt@gmail.com,"Honest Tooth Family Dentistry",http://www.honesttooth.com,Albuquerque,"New Mexico","Dental clinic"
carissa.greinel@gmail.com,"Bear Canyon Family Dentistry",http://bearcanyondental.com,Albuquerque,"New Mexico",Dentist
sarahdds@gmail.com,"Sandia Dental Care",http://sandiadentalcare.com,Albuquerque,"New Mexico","Dental clinic"
smilesthatwork@gmail.com,"Smiles That Work",http://www.smilesthatwork.com,Albuquerque,"New Mexico",Dentist
apexdentalnm@gmail.com,"Apex Dental",http://apexdentalnm.com,Albuquerque,"New Mexico","Dental clinic"
drd8400@gmail.com,"Brian K. Dennis DDS",http://www.albuquerquecosmeticdentist.com,Albuquerque,"New Mexico",Dentist
jollasondds@gmail.com,"Jack Ollason Family Dentistry",http://jackollasonfamilydentistry.com,Albuquerque,"New Mexico",Dentist
drmarkjohnson@comcast.net,"Mark W. Johnson DDS",http://www.markwjohnsondds.com,Albuquerque,"New Mexico","Cosmetic dentist"
thekidzdentist@yahoo.com,"The Kids Dentist",http://stanleychessdds.com,Albuquerque,"New Mexico","Paediatric Dentist"
uptowndental.llc@gmail.com,"Delicate Dental Associates",https://www.abqdd.net,Albuquerque,"New Mexico",Dentist
sandiapediatricdentistry@gmail.com,"Sandia Pediatric Dentistry",http://www.sandiapediatricdentistry.com,Albuquerque,"New Mexico","Paediatric Dentist"
alegredentalbosque@gmail.com,"Alegre Dental @ Bosque",http://alegredentalbosque.com,Albuquerque,"New Mexico",Dentist
participadental01@outlook.com,"Participa Dental Services",https://www.participadentalservices.com,Albuquerque,"New Mexico",Dentist
drdentalnm@gmail.com,"DR. DENTAL",http://www.drdentalnm.com,Albuquerque,"New Mexico","Dental clinic"
kidsfirstabq@gmail.com,"Kids First Dental Care",http://www.kidsfirstabq.com,Albuquerque,"New Mexico","Dental clinic"
lim1978nm@gmail.com,"Dental Clinic - John T Lim D.D.S.",https://www.dentalclinicnm.com,Albuquerque,"New Mexico",Dentist
abqomnidental@gmail.com,"Omni Dental LLC",http://www.abqomnidental.com,Albuquerque,"New Mexico",Dentist
