email,company,website,city,state,profession
curatedalameda@gmail.com,CURATED,http://curatedalameda.com,Alameda,California,"Home Furniture Shop"
dofurniture93@gmail.com,"Dimensional Outlet Furniture",http://www.dimensionaloutletfurniture.com,Oakland,California,"Home Furniture Shop"
customsofaco@gmail.com,"Custom Sofa Co.",http://www.customsofaco.com,Oakland,California,"Sofa store"
funkyfurnituresf@gmail.com,"Funky Furniture",http://www.funkyfurnituresf.com,Oakland,California,"Home Furniture Shop"
antiquesandmodern@gmail.com,"Chris Howards DANISH MODERN SHOWROOM",http://www.antiquesandmodern.com,Oakland,California,"Home Furniture Shop"
ninaharlach.analytics@gmail.com,"Viking Trader",http://www.vikingtrader.com,Berkeley,California,"Home Furniture Shop"
berkeleyoutlet@gmail.com,"Berkeley Outlet",http://www.berkeleyoutlet.com,Berkeley,California,"Second-hand furniture shop"
alphadesignberkeley@gmail.com,"Alpha Design Custom Furniture",http://www.alphadesignberkeley.com,Berkeley,California,"Furniture Stores"
giannicorvasce@yahoo.com,"Gianni Corvasce Restoration",http://www.eastbayrestoration.com,Berkeley,California,"Home Furniture Shop"
joinerystructures@gmail.com,"Joinery Structures",http://www.joinery-structures.com,Oakland,California,"Home Furniture Shop"
ddstoreonline@yahoo.com,"Dimensional Design",http://www.dimensionaldesigns.com,Oakland,California,Retail
cnsfsu89@gmail.com,"Brothers Furniture",http://www.brothersfurniturecalifornia.com,Oakland,California,Retail
furniture@gmail.com,"J. Rusten Furniture Studio",http://jrusten.com,"San Francisco",California,Retail
gilsfurniturerepair@gmail.com,"Gil's Furniture Repair",http://gilsfurniture.com,Albany,California,"Furniture repair shop"
frick.online@gmail.com,Antiques,http://www.antiques.com,Alameda,California,Retail
navadurgasingingbowl@gmail.com,"Navadurga Handicraft & Singing Bowl House",http://www.navadurgahandicraft.com,Alameda,California,"Home & Garden"
luxfurniture19@gmail.com,"Lux Furniture",https://www.lux-furniture.com,Perris,California,Retail
slumbernserenity@gmail.com,"Slumber n Serenity Discount Mattress and Furniture",http://www.slumbernserenity.com,Anaheim,California,"Mattress Shop"
diningandstools@hotmail.com,"Dining & Stools",http://www.diningandstools.com,Anaheim,California,"Home Furniture Shop"
michellesfurniture.01@gmail.com,"Michelles Furniture",https://www.michellefurniturewarehouse.com,Anaheim,California,"Home Furniture Shop"
zzzzzmattress@hotmail.com,"ZZZZZ Mattress",http://www.zzzzzmattressca.com,Anaheim,California,"Mattress Shop"
miraclefurniture.orange@gmail.com,"Miracle Furniture Store",https://miraclefurniture.business.site,Orange,California,"Home Furniture Shop"
furniturefixxers@gmail.com,"FURNITURE DOCTOR",http://www.furniturefixxers.com,Anaheim,California,"Furniture repair shop"
fireplacepatiotrends@gmail.com,"Fireplace & Patio Trends Inc",https://fireplaceandpatiotrends.com,Orange,California,"Outdoor furniture shop"
patiooutletamazon@yahoo.com,"Patio Outlet",http://patiomfg.com,Orange,California,"Outdoor furniture shop"
farbelowretail@live.com,CrannysFurniture.com,http://www.crannysfurniture.com,"Laguna Hills",California,"Home Furniture Shop"
patioplaceinc@yahoo.com,"Patio Place",https://www.patioplaceinc.com,Orange,California,"Outdoor furniture shop"
crfurnituredesigns00@gmail.com,"CR Mattress & Furniture",https://cr-furniture-designs.business.site,Fullerton,California,"Furniture wholesaler"
furaccents@aol.com,"Fur Accents",http://www.furaccents.com,Orange,California,"Home Furniture Shop"
craigjig@icloud.com,"Anaheim Foam & Fabrics Inc",http://www.anaheimfoamandfabric.com,Anaheim,California,"Fabric Shop"
www.furnitureavehome@gmail.com,"Furniture Ave",https://www.furnitureavehome.com,"Santa Ana",California,"Home Furniture Shop"
backyardexpressions@gmail.com,"Backyard Expressions",http://www.backyardx.com,"Yorba Linda",California,"Outdoor furniture shop"
masoutletsales@gmail.com,"MAS Outlet Inc",http://www.shopmasoutlet.com,Fullerton,California,"Outdoor furniture shop"
255-1735patioplus00@gmail.com,"Patio Furniture Plus",http://patiofurnitureplusoc.com,Fullerton,California,"Outdoor furniture shop"
johnphan28@gmail.com,"Furniture 4U",http://furnitures4usa.com,"City of Industry",California,"Home Furniture Shop"
mario.jm503@gmail.com,"OC Mattress and Furniture",https://mariocustoms.com,Orange,California,"Home Furniture Shop"
tof.davidhong@gmail.com,"Total Office Furniture",http://tofficefurniture.com,"La Mirada",California,"Office Furniture Shop"
hbmattress@gmail.com,"HB Mattress Stores",https://hbmattressstores.com,"Huntington Beach",California,"Mattress Shop"
akram.yassin@yahoo.com,"Casa Latina Furniture",http://akramyassinconstructionandengineering.com,"La Puente",California,"Home Furniture Shop"
arthousemanufactory@yahoo.com,"Arthouse Manufactory",http://www.arthousemanufactory.com,Anaheim,California,"Furniture maker"
htgtfurniture@gmail.com,"HtgT Furniture",https://htgtfurniture.com,"Costa Mesa",California,"Home Furniture Shop"
furniture.alacarte@yahoo.com,"Furniture A La Carte",http://furniturealacarte.net,Tustin,California,Retail
american_office03@yahoo.com,"American Office Furniture",https://www.americanofficefurniture.us,"Santa Ana",California,Retail
genesisfurniturehg@yahoo.com,"Genesis Furniture",http://genesiscustomfurniture.com,"Hawaiian Gardens",California,Retail
urbanism.team@gmail.com,"Tt Furniture",http://www.urbanismfurniture.com,"Santa Ana",California,Retail
casabellacoronaca@gmail.com,"Casa Bella",http://www.casabellacorona.com,Corona,California,"Home & Garden"
eastbaytraders@gmail.com,"East Bay Furniture & Appliance Warehouse",http://eastbayfurnitureappliance.com,Antioch,California,"Home Furniture Shop"
brentwoodcityfurniture@gmail.com,"City Furniture Gallery",http://www.city-furniture-gallery.com,Brentwood,California,"Home Furniture Shop"
lanzafamefurnitureco@gmail.com,"Lanzafame Furniture Co",http://www.lanzafame.com,Pittsburg,California,"Home Furniture Shop"
bigalshmf@gmail.com,"Big Al's Heavy Metal Furniture",https://www.therustycrab.org,Brentwood,California,Retail
superiorfloorsantioch@gmail.com,"Superior Floors",http://www.superiorfloorsftc.com,Antioch,California,"Flooring contractor"
vintagetreasures340@outlook.com,"Vintage Treasures & Antiques Arcadia",http://vintagetreasures340.wordpress.com,Arcadia,California,Retail
paintchangeseverything@gmail.com,"Paint Changes Everything at La Porte Vintage",http://www.paintchangeseverything.com,Arcadia,California,"Antique Furniture Shop"
valadez0101@gmail.com,"Valadezs Furniture Inc",https://www.valadezsfurniture.net,Irwindale,California,"Home Furniture Shop"
huertafurniture@gmail.com,"Huerta Furniture",http://www.huertafurniture.com,Arcadia,California,"Furniture maker"
mdwconstructionspg@gmail.com,"Sleep Perfection",http://www.glendoracustomhomebuilder.com,Duarte,California,"Home Furniture Shop"
divinesfurniture@yahoo.com,"Divines Furniture Store",http://www.divinefurniture.com,"Monterey Park",California,"Antique Shop"
exlmodular1@gmail.com,"Savios Custom Furniture",http://californiamodularinstallation.com,Azusa,California,"Home Furniture Shop"
camposjaner1591@gmail.com,"Super Big Discount Furniture",http://superbigdiscountfurniture.com,"Los Angeles",California,"Home Furniture Shop"
shanding2020122@yahoo.com,"P & W Used Furniture",http://www.pmwfurniture.com,"South El Monte",California,"Second-hand furniture shop"
franksfurnitureonline@gmail.com,"Franks Furniture",http://www.franksfurnitureonline.com,Lawndale,California,"Home Furniture Shop"
laurels2005@yahoo.com,"Laurels Fine Furniture",http://www.laurelsfurniture.com,Torrance,California,"Home Furniture Shop"
strangerfurniture@gmail.com,"Stranger Furniture",http://strangerfurniture.com,Pasadena,California,Retail
us.tehtaibed@gmail.com,"Teh Tai Furniture",http://www.tehtaibed.com,"San Gabriel",California,Retail
leefurniture4120@gmail.com,"Lee Furniture",http://leefurniture.com,Rosemead,California,Retail
rosewoodhouse@gmail.com,"House of Rosewood Furniture",http://www.rosewoodhouse.com,"El Monte",California,"Furniture wholesaler"
darleeco@yahoo.com,"Dar-Lee Company",http://www.darleeoutdoorliving.com,"Baldwin Park",California,Retail
laeconomicafurnituremontebello@gmail.com,"L A Economica",http://laeconomicafurnitu.wix.com,Montebello,California,Retail
pbfurniture8913@yahoo.com,"Peach Blossom Furniture",http://peachblossomfurniture.webs.com,Rosemead,California,Retail
bedtime4troy@gmail.com,"Bedtime Mattress & More",http://www.bedtimemattressandmore.com,"San Dimas",California,"Home & Garden"
lealsbuisness@gmail.com,"Nazareth Furniture",http://www.nazarethfurnitures.com,"Pico Rivera",California,Retail
houseofrosewood@yahoo.com,"House of Rosewood Furniture",http://hotaifurniture.com,Alhambra,California,Retail
affordablefurniture@gmail.com,"Affordable Furniture",http://www.afbakersfield.com,Bakersfield,California,"Home Furniture Shop"
oakandsofaliquidators@gmail.com,"Oak Furniture Liquidators",http://www.oakandsofaliquidators.com,Bakersfield,California,"Home Furniture Shop"
furnitureea@gmail.com,"iHome Furniture",http://ihomefurniturestore.com,Bakersfield,California,"Mattress store"
restforless@gmail.com,"Rest for Less",http://www.restforlessmattress.com,Camarillo,California,"Mattress Shop"
homedesignfurniture2@gmail.com,"Furniture of America",https://www.homeelegancefurniture.com,Bakersfield,California,Retail
anthonysfurni@gmail.com,"Anthonys Furniture",https://anthonys-furniture.business.site,Bakersfield,California,"Home Furniture Shop"
montecarlowible@gmail.com,"Montecarlo Furniture",https://montecarlofurniture.com,Bakersfield,California,"Home Furniture Shop"
mihacienda@yahoo.com,"Rustic Furniture",http://www.mihacienda.net,Bakersfield,California,"Home Furniture Shop"
delunajs26@gmail.com,"De Luna Furniture",https://prohomeimprovementservice.com,Bakersfield,California,"Home Furniture Shop"
ukdesigntv@gmail.com,"Bakersfield BoxDrop",https://boxdropbakersfield.com,Bakersfield,California,"Home Furniture Shop"
2thesheshed@gmail.com,"The She Shed by The Peachy Pig",http://www.thepeachypighomemarket.com,Bakersfield,California,"Home Furniture Shop"
randdfreeze@aol.com,"R & D Leather Furniture",http://www.randdleatherfurniture.com,Bakersfield,California,Retail
morethankful@aol.com,"The Patio Place",http://www.thepatioplacefresno.com,Bakersfield,California,"Outdoor furniture shop"
constructionservicesca1@gmail.com,"Five & Dime Antique Mall",http://markwayne.org,Bakersfield,California,"Antique Shop"
creativecarpetrepair@gmail.com,"The Vintage Home Antique Gallery",https://creativecarpetrepair.com,Bakersfield,California,"Antique Shop"
sconiillc@aol.com,"Western Furniture Co",https://inhome-appliancerepair.com,Wasco,California,"Home Furniture Shop"
anthonysfurniture1@hotmail.com,"Anthony's Furniture",https://www.anthonysfurnitureca.com,Bakersfield,California,Retail
bgchair@aol.com,"The Furniture Outlet",http://www.barstowfurniture.com,Barstow,California,"Home Furniture Shop"
clarity92345@gmail.com,"Grannys Hobby Barn",http://www.clarity1976.wixsite.com,Barstow,California,"Home Furniture Shop"
furniture4less@gmail.com,"Discount Furniture",http://discountfurnituremanassas.com,Barstow,California,Retail
customsofaoutlet@gmail.com,"California Interiors & Design",http://www.sofaoutlet.com,"San Mateo",California,"Home Furniture Shop"
bedroomandmoresc@gmail.com,"Bedroom & More-San Carlos",http://bedmoresc.com,"San Carlos",California,"Bedroom furniture store"
cottageindustries@comcast.net,"Cottage Industries Handcrafted Furniture",http://www.myhandmadehome.com,"Half Moon Bay",California,"Home Furniture Shop"
serradesign@yahoo.com,"Serra Design",http://www.serradesignonline.wixsite.com,Burlingame,California,Retail
starcontempo@yahoo.com,"Star Modern Furniture",http://starmodernfurniture.com,"Mountain View",California,Retail
worldfinefurniture@gmail.com,"World Fine Furniture",http://worldfinefurniture.com,Hayward,California,Retail
cypressinc@aol.com,"Cypress Furniture Inc",http://cypressfurnitureinc.com,Hayward,California,Retail
afg.nwk@gmail.com,"Lifestyle Furniture & Mattress",http://www.lifestylefurnitureandmattress.com,Newark,California,Retail
tansushop@gmail.com,"Eastern Classics",https://tansushop.com,Berkeley,California,Retail
jacks.antiques.3021@gmail.com,"Jacks Antiques",http://jacksantiques.net,Berkeley,California,"Antique Shop"
jardinwicker@yahoo.com,"Jardin Wicker",http://www.jardinwicker.com,Albany,California,"Furniture repair shop"
discountfabricsberkeley@yahoo.com,"Discount Fabrics",http://www.discountfabrics-sf.com,Berkeley,California,Retail
