email,website,city,state,profession,phone,country
letstalk@advicefirst.co.nz,https://www.advicefirst.co.nz,Wellington,"New Zealand","Investment Company","+64 800 438 238","New Zealand"
me@mydomain.co.nz,http://www.marketsharegame.co.nz,Auckland,"New Zealand","Investment Company","+64 800 249 4263","New Zealand"
info@mintasset.co.nz,http://www.mintasset.co.nz,Auckland,"New Zealand","Investment Company","+64 9-300 8484","New Zealand"
enquiries@pacificchannel.com,http://www.pacificchannel.com,Auckland,"New Zealand","Investment Company","+64 9-376 0382","New Zealand"
info@mas.co.nz,https://www.mas.co.nz,Wellington,"New Zealand","Investment Company","+64 800 800 627","New Zealand"
help@xceda.co.nz,https://www.assetfinance.co.nz,Masterton,"New Zealand","Investment Company","+64 6-370 1250","New Zealand"
info@saltfunds.co.nz,https://www.saltfunds.co.nz,Auckland,"New Zealand","Investment Company","+64 9-869 2933","New Zealand"
info@newground.co.nz,https://www.newground.co.nz,Auckland,"New Zealand","Investment Company","+64 800 783 043","New Zealand"
tyrone@keystoneadvice.co.nz,http://www.keystoneadvice.co.nz,Auckland,"New Zealand","Investment Company","+64 9-950 3550","New Zealand"
available@craigsip.com,https://craigsip.com,Wellington,"New Zealand","Investment Company","+64 7-927 7933","New Zealand"
lukevangog@lvglimited.com,http://lvglimited.com,Auckland,"New Zealand","Investment Company","+64 27 962 9016","New Zealand"
info@khmgltd.co.nz,http://www.khmgltd.co.nz,Auckland,"New Zealand","Investment Company","+64 9-392 0033","New Zealand"
info@mauicapital.co.nz,http://www.mauicapital.co.nz,Auckland,"New Zealand","Investment Company","+64 9-377 9379","New Zealand"
info@path.co.nz,http://www.path.co.nz,Auckland,"New Zealand","Investment Company","+64 9-489 3802","New Zealand"
ct-auckland@nzgt.co.nz,https://www.guardiantrust.co.nz,Auckland,"New Zealand","Investment Company","+64 800 683 909","New Zealand"
enquiries@maiafinancial.com.au,https://www.maiafinancial.com.au,Auckland,"New Zealand","Investment Company","+64 800 472 633","New Zealand"
info@carbonfund.co.nz,https://www.carbonfund.co.nz,Auckland,"New Zealand","Investment Company","+64 9-869 2933","New Zealand"
greta@moanapark.co.nz,http://www.dionysus.co.nz,Auckland,"New Zealand","Investment Company","+64 9-486 0200","New Zealand"
office@dromgool.co.nz,http://www.dromgool.co.nz,Auckland,"New Zealand","Investment Company","+64 9-930 6910","New Zealand"
jtc@jtcgroup.com,https://www.jtcgroup.com,Auckland,"New Zealand","Investment Company","+64 9-337 0965","New Zealand"
info@tanarra.com.au,http://tanarra.com,Auckland,"New Zealand","Investment Company","+64 21 909 795","New Zealand"
adrian@landco.nz,http://landco.nz,Auckland,"New Zealand","Investment Company","+64 9-377 7677","New Zealand"
queries@nzgt.co.nz,https://www.guardiantrust.co.nz,"Palmerston North","New Zealand","Investment Company","+64 6-356 9208","New Zealand"
risk@mmcnz.co.nz,http://www.decisionmakers.co.nz,Tauranga,"New Zealand","Investment Company","+64 7-548 1148","New Zealand"
enquiries@quaysideholdings.co.nz,https://quaysideholdings.co.nz,Tauranga,"New Zealand","Investment Company","+64 7-579 5925","New Zealand"
investmentfunds@forsythbarr.co.nz,http://www.forsythbarr.co.nz,Queenstown,"New Zealand","Investment Company","+64 3-450 2650","New Zealand"
web.wanaka@forsythbarr.co.nz,https://www.forsythbarr.co.nz,Wanaka,"New Zealand","Investment Company","+64 3-443 2980","New Zealand"
scheme@summer.co.nz,https://www.forsythbarr.co.nz,Dunedin,"New Zealand","Investment Company","+64 800 367 227","New Zealand"
jared.campbell@phwealth.co.nz,http://www.phwealth.co.nz,Dunedin,"New Zealand","Investment Company","+64 3-474 9709","New Zealand"
enquiries@linkmarketservices.co.nz,https://infratil.com,Wellington,"New Zealand","Investment Company","+64 4-473 3663","New Zealand"
info@ibs-property.de,https://www.barton-group.de,Wellington,"New Zealand","Investment Company","+64 210 694 233","New Zealand"
david@vantagegroup.co.nz,http://www.vantagegroup.co.nz,"Lower Hutt","New Zealand","Investment Company","+64 4-473 8148","New Zealand"
warren@sproutagritech.com,http://www.sproutagritech.com,"Palmerston North","New Zealand","Investment Company","+64 27 248 6525","New Zealand"
