email,company,website,city,state,profession
sales@anchordesignmaine.com,"Anchor Design Co.",http://www.anchordesignmaine.com,Bangor,Maine,"Kitchen Renovator"
interiors@wbmason.com,"W.B. Mason Interiors",https://www.wbmasoninteriors.com,Bangor,Maine,"Interior designer"
david@habitatbangor.org,"Habitat for Humanity ReStore",http://www.habitatbangor.org,Bangor,Maine,"Second-hand furniture shop"
sales@304stillwateravenue.com,"304 Stillwater Avenue Furniture",http://304stillwateravenue.com,Bangor,Maine,"Home Furniture Shop"
info@wallaceinteriors.com,"Wallace Interiors",http://www.wallaceinteriors.com,Trenton,Maine,"Interior designer"
showroom44@fwwebb.com,"Frank Webb Home",http://www.frankwebb.com,Bangor,Maine,"Bathroom Supply Shop"
connie@interiorsbydetails.com,"Interiors By Details",http://www.interiorsbydetails.com,Ellsworth,Maine,"Interior designer"
kirk@bangorwindowshade.com,"Bangor Window Shade & Drapery",http://www.bangorwindowshade.com,Bangor,Maine,"Curtain shop"
info@hayesunfinishedfurniture.com,"Hayes Unfinished Furniture",https://hayesunfinishedfurniture.com,Brewer,Maine,"Unfinished Furniture Shop"
tuffy@tuffybear.com,"Tuffy Bear Discount Furniture",https://www.tuffybear.com,Glenburn,Maine,"Home Furniture Shop"
kimberlyperry@phfd.co,"Perry's Furniture Inc.",http://perrysfurniture.com,Belfast,Maine,Retail
ashley@themainesprucehouse.com,"The Maine Spruce House",https://www.themainesprucehouse.com,Lowell,Maine,"Interior designer"
info@joellendesigns.com,"Jo Ellen Designs",http://www.joellendesigns.com,Camden,Maine,Retail
tdiskin@unionoffice.com,"UNION Office Interiors - Augusta Maine",http://unionofficeinteriors.com,Augusta,Maine,Retail
bob@jarrmanagement.com,"Classic Interiors LLC",http://www.maineinteriors.com,Augusta,Maine,"Interior designer"
cecelia@stoningtons.com,"Stonington's Fabulous Furniture",http://stoningtons.com,Brewer,Maine,"Home & Garden"
eric@thirtybyforty.com,"30X40 Design Workshop",http://thirtybyforty.com,"Mount Desert",Maine,"Interior Design"
jwadick@eclipsedbydesign.com,"Eclipsed by Design",http://www.eclipsedbydesign.com,Unity,Maine,"Graphic Design"
laura@keelerandco.com,Rusticator,http://www.rusticatorshop.com,"Seal Harbor",Maine,"Interior designer"
malgorzata@spiritcraftdesign.com,"Spiritcraft Design",http://spiritcraftdesign.com,"Southwest Harbor",Maine,"Interior designer"
contact@willisrockshop.com,"Willis Rock Shop",http://www.willisrockshop.com,"Bar Harbor",Maine,"Jewellery Designer"
carol@mainestreetdesign.com,"Maine Street Design Company",http://www.mainestreetdesign.com,Bath,Maine,"Interior Design"
