email,website,city,state,profession,phone,country
havefun@mauidiving.com,http://www.mauidiving.com,Lahaina,Hawaii,"Diving Center","(808) 667-0633",USA
info@extendedhorizons.com,http://www.extendedhorizons.com,Lahaina,Hawaii,"Diving Center","+1 808-667-0611",USA
dive@goscubadivemaui.com,https://www.goscubadivemaui.com,Lahaina,Hawaii,"Diving Center","(808) 661-7333",USA
info@mauidiveshop.com,http://www.mauidiveshop.com,Wailuku,Hawaii,"Diving Center","(800) 542-3483",USA
info@banyantreedivers.com,https://banyantreedivers.com,Lahaina,Hawaii,"Diving Center","(808) 446-6099",USA
info@divealohascuba.com,http://www.divealohascuba.com,Wahiawa,Hawaii,"Diving Center","(808) 622-3483",USA
info@hawaiiecodivers.com,http://www.hawaiiecodivers.com,Haleiwa,Hawaii,"Diving Center","(808) 499-9177",USA
info@prodivermaui.com,http://www.prodivermaui.com,Kihei,Hawaii,"Diving Center","(808) 875-4004",USA
wreckweek@islanddivershawaii.com,http://www.oahuscubadiving.com,"Schofield Barracks",Hawaii,"Diving Center","(808) 201-4712",USA
info@konafreedivers.com,https://www.konafreedivers.com,Kailua-Kona,Hawaii,"Diving Center","(808) 464-6584",USA
info@freedivehi.com,http://www.freedivehi.com,Honaunau-Napoopoo,Hawaii,"Diving Center","(808) 868-6474",USA
derek@honolulufreedivers.com,http://1breath.co,Honolulu,Hawaii,"Diving Center","(808) 308-5512",USA
