email,company,website,city,state,profession
hightidebuilders@yahoo.com,"High Tide Builders LLC",https://www.hightidebuildersllc.com,"Bay St Louis",Mississippi,"Custom home builder"
sassybirdinteriors@gmail.com,"Sassy Bird Interiors",https://sassybirdinteriors.com,"Bay St Louis",Mississippi,"Homewares Shop"
tightlinespaintingandremodel@gmail.com,"Mrs. Dees Home Renovations",https://mrs-dee-s-home-renovation-s.ueniweb.com,Gulfport,Mississippi,"Interior designer"
wavfurn@aol.com,"Waveland Furniture Liquidators and U-Haul",http://mightymenmoversms.com,Waveland,Mississippi,"Home Furniture Shop"
grandemporiumfb@gmail.com,"Grand Furniture & Bedding",https://www.grandfurnitureandbedding.net,Waveland,Mississippi,"Home Furniture Shop"
expertroofing97@gmail.com,"Top Cat Lawn Care LLC",https://expert-renovations.business.site,"Bay St Louis",Mississippi,"Landscape designer"
westerncontractingservicesllc@gmail.com,"RjRogers Plumbing & Contracting",http://westerncontractingservices.net,Waveland,Mississippi,"Bathroom Renovator"
kaysinteriorsinc@gmail.com,"Kays Interiors",http://kaysinteriorsinc.com,"Ocean Springs",Mississippi,"Interior designer"
dbatiainteriors@gmail.com,"D. Batia Interiors LLC",http://www.dbatiainteriors.com,Biloxi,Mississippi,"Interior designer"
anchorservicessales@gmail.com,"Unique Finds",https://www.uniquefindsgulfport.com,Gulfport,Mississippi,"Second-hand furniture shop"
rachel.bankston@yahoo.com,"Southern Charm Furniture & Design",http://www.southerncharmfurnitureanddesign.com,Gulfport,Mississippi,"Home & Garden"
michelebauer1975@gmail.com,"Window Solutions",https://mgbconstruction.webs.com,Biloxi,Mississippi,"Curtain shop"
chicagofds@aol.com,"Foliage Design Systems",http://www.foliagedesign.com,Perkinston,Mississippi,Retail
pbf869@yahoo.com,"Furniture Gallery",http://www.phelpsbrothersfurnituregallery.com,Clarksdale,Mississippi,"Home Furniture Shop"
ashtonsdesigns@yahoo.com,"Ashton Hall",http://www.ashtoninteriors.com,Sardis,Mississippi,"Interior designer"
lorifrazier2012@yahoo.com,"Custom Drapes By Lori",http://www.customdrapesbylori.com,Oxford,Mississippi,"Curtain shop"
blairhaustupelo@gmail.com,"BlairHaus Interiors",https://blairhaus.com,Tupelo,Mississippi,"Interior designer"
katherinebeckgifts2@gmail.com,"Katherine Beck",http://www.katherinebeckgifts.com,Oxford,Mississippi,Retail
nellagifts@gmail.com,"Nella home interiors & gifts",http://www.nellahomeinteriorsandgifts.com,Gulfport,Mississippi,"Homewares Shop"
hoodsmarketing@gmail.com,"Hoods Home Center of Gulfport",https://hoodshomecenters.com,Gulfport,Mississippi,"Home improvement shop"
miskelly.media@gmail.com,"Miskelly Furniture",https://www.miskellys.com,Hattiesburg,Mississippi,"Home Furniture Shop"
charliescustom@hotmail.com,"Charlies Custom Colors & Flooring",http://charliescustomcolors.com,Picayune,Mississippi,Retail
edgewooddesigner@gmail.com,"Edgewood Interiors",http://www.edgewoodinteriorsinc.com,McComb,Mississippi,"Interior designer"
macscomm@hotmail.com,"Cartee Kelli Interior Design",http://macscommercialheatingandair.com,Hattiesburg,Mississippi,"Interior Design"
dt5946@aol.com,"After Five Designs",http://afterfivedesigns.net,Jackson,Mississippi,"Interior designer"
lindsey_tiffany85@yahoo.com,"Lisa Palmer Interiors",https://pristine-design-llc.ueniweb.com,Jackson,Mississippi,"Interior designer"
amy.amysinteriors@gmail.com,"Amys Interiors",http://www.amys-interiors.com,Jackson,Mississippi,"Interior designer"
embellishedeventsinteriors@gmail.com,"Elle Bee Designs",http://embellishedeventsandinteriors.com,Jackson,Mississippi,"Interior designer"
griffconstruction6@gmail.com,"Ann Dunbar Interiors Inc",https://griffconstrpropertymanagement.com,Jackson,Mississippi,"Interior designer"
havencuratedhome@gmail.com,"HAVEN Curated Home",http://www.havencuratedhome.com,Jackson,Mississippi,"Interior designer"
susannahfielder1968@gmail.com,"Casabella Interiors",http://susannahfielder.com,Brandon,Mississippi,"Interior designer"
depressioncure.net@gmail.com,"Joan Hawkins Art & Interiors",http://pantonista.com,Ridgeland,Mississippi,"Interior designer"
driftwood.ronnie@gmail.com,"Creative Expressions",https://driftwood-renovations.webnode.com,Jackson,Mississippi,"Interior designer"
burnsfenceco@yahoo.com,"Pontifex Millwork & Design",http://www.burnsfence.com,Jackson,Mississippi,"Furniture maker"
gary.netherland@gmail.com,"Design Builders-Renovation",https://www.remodelingcontractorjackson.com,Ridgeland,Mississippi,"Kitchen Renovator"
robertsinter@aol.com,"Roberts Interiors",https://roberts-interiors.business.site,Richland,Mississippi,"Homewares Shop"
oakexperience@yahoo.com,Oak,http://www.oakexperience.com,Forest,Mississippi,Retail
