email,company,website,city,state,profession
medicalrecords@vwhs.org,"Alamosa Dental Clinic: Valley-Wide Health Systems Inc.",https://valley-widehealth.org,Alamosa,Colorado,"Dental clinic"
southfork@hardingdentalgroup.com,"Harding Dental Group",https://www.hardingdentalgroup.com,Alamosa,Colorado,"Cosmetic dentist"
adam@oneins.com,"First Insurance Services",https://oneins.com,Alamosa,Colorado,"Insurance agency"
meganh@akdsmiles.com,"All Kids Dental",http://akdsmiles.com,Aspen,Colorado,"Dental clinic"
dentalbenefitplan@comfortdental.biz,"Comfort Dental",https://comfortdental.com,#170,Colorado,"Dental clinic"
drcarter@northgatedentalcare.com,"Bruce M Erickson DDS",http://www.northgatedentalcare.com,Salida,Colorado,"Cosmetic dentist"
patient@towerdentalcolorado.com,"Tower Dental",http://www.towerdentalcolorado.com,Aurora,Colorado,"Cosmetic dentist"
cost.estimate@childrenscolorado.org,"Pediatric Dental Center at Children’s Hospital Colorado",https://www.childrenscolorado.org,Aurora,Colorado,"Dental clinic"
astrid@projectvoyce.org,"CU Orthodontics",http://www.ucdenver.edu,Aurora,Colorado,"Dental clinic"
raeline.mcintyre@affordabledentures.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,Aurora,Colorado,"Denture Care Centre"
appointments@periodontalhealth.com,"Periodontal Associates- The Dental Implant Team",https://www.periodontalhealth.com,Aurora,Colorado,"Dental implants periodontist"
stephen@teaberry.net,"Carpenter Erin w DDS",https://teaberry.net,Aurora,Colorado,"Paediatric Dentist"
smile@kidsmilehigh.com,"Kids Mile High Pediatric Dentistry - Central Park",https://www.kidsmilehigh.com,Denver,Colorado,"Paediatric Dentist"
north@southmoorkids.com,"Southmoor Pediatric Dentistry",https://southmoorkids.com,Denver,Colorado,"Paediatric Dentist"
sarahw@ccdcsmiles.com,"Colorado Childrens Dental Center",http://www.ccdcsmiles.com,Parker,Colorado,"Paediatric Dentist"
cherrycreek@rmdentalpartners.com,"Rocky Mountain Dental Partners",http://www.rmdentalpartners.com,Centennial,Colorado,"Dental clinic"
smile@eaststapletonkidsdentistry.com,"Dentists of Central Park Kids Dentistry and Orthodontics",https://www.eaststapletonkidsdentistry.com,Denver,Colorado,"Paediatric Dentist"
smile@eaststapletondentistry.com,"Dentists of Central Park",https://www.dentistsofcentralpark.com,Denver,Colorado,"Dental clinic"
aspenleafdental@aspenleafdental.com,"Aspen Leaf Dental",http://www.aspenleafdental.com,Denver,Colorado,"Teeth whitening service"
andrew.nguyen@ticket-to-smiles.com,"Ticket 2 Smiles",http://ticket-to-smiles.com,Aurora,Colorado,"Dental clinic"
eht@emergencydental.com,"Emergency Dental Care USA",https://www.emergencydental.com,Aurora,Colorado,"Emergency dental service"
midtownappt@dentalhealthcolorado.com,"Colorado DHCA Center Pointe PLLC",http://www.dentalhealthcolorado.com,Aurora,Colorado,"General Dentistry"
stapleton@stapletonmoderndental.com,"Stapleton Modern Dental",http://stapletonmoderndental.com,Denver,Colorado,"Cosmetic Dentist"
cathy@altitudedental.com,"Altitude Dental",http://www.altitudedental.com,Denver,Colorado,"Cosmetic Dentist"
cherrycreekdentistry@me.com,"Cherry Creek Dentistry",https://www.cherrycreekdentistry.com,Denver,Colorado,"Cosmetic dentist"
reviews@smiledirectclub.com,"Smile Direct Club",https://smiledirectclub.com,Aurora,Colorado,"Teeth Whitening"
