email,company,website,city,state,profession
melbourne@designinc.com.au,"DesignInc Melbourne",http://www.designinc.com.au,Melbourne,Victoria,Architect
info@janecameronarchitects.com,"Jane Cameron Architects",http://www.janecameronarchitects.com,Melbourne,Victoria,Architect
employment@foomann.com.au,"Foomann Architects",http://www.foomann.com.au,Melbourne,Victoria,Architect
adam@adamdettrick.com.au,"Adam Dettrick Architect",http://www.adamdettrickarchitects.com.au,Melbourne,Victoria,Architect
hello@studiovia.com.au,"Via Architects",http://www.viaarchitects.com.au,Melbourne,Victoria,Architect
hobart@fmdarchitects.com.au,"FMD Architects",http://fmdarchitects.com.au,MELBOURNE,Victoria,Architect
wmk@wmkarchitecture.com,"WMK Architecture",http://www.wmkarchitecture.com,Australia,Australia,Architect
enquiries@ammachearchitects.com.au,"Ammache Architects Melbourne",http://www.ammachearchitects.com.au,Australia,Victoria,"Architecture firm"
sydney@cox.com.au,"Cox Architecture",http://www.coxarchitecture.com.au,Melbourne,Victoria,Architect
info@grimshaw.global,"Grimshaw Architects",https://www.grimshaw.global,Melbourne,Victoria,"Architecture firm"
membership@architecture.com.au,"The Australian Institute of Architects",http://architecture.com.au,Melbourne,Victoria,"Architects association"
studio@mcmahonandnerlich.com.au,"mcmahon and nerlich",https://www.mcmahonandnerlich.com.au,Australia,Australia,Architect
melbourne@spowers.com.au,"Spowers Architects",http://www.spowers.com.au,Melbourne,Victoria,Architect
info@pointarc.com.au,"Point Architects Pty Ltd",http://www.pointarchitects.com.au,Melbourne,Victoria,Architect
info@jacksonarchitecture.com.au,"Daryl Jackson Alastair Swayn",http://www.djas.com.au,Australia,Australia,"Architecture firm"
we@folkarchitects.com,"Folk Architects",http://www.folkarchitects.com,Australia,Australia,Architect
kho@k2ld.com.au,"K2LD Architects",http://www.k2ld.com.au,Melbourne,Victoria,Architect
jwheeler@mgsarchitects.com.au,"MGS Architects Pty Ltd",http://www.mgsarchitects.com.au,Melbourne,Victoria,Architect
info@herestudio.net,"here studio architects - Melbourne",https://www.herestudio.net,Melbourne,Victoria,Architect
reception@lefflersimes.com.au,"Leffler Simes Architects",https://www.lefflersimes.com.au,Melbourne,Victoria,Architect
office@paulmorganarchitects.com,"Paul Morgan Architects",https://www.paulmorganarchitects.com,Australia,Australia,Architect
recruitment@nharch.net,NHArchitecture,https://nharchitecture.net,Melbourne,Victoria,Architect
architectdoyle@peterelliott.com.au,"Peter Elliott Architecture and Urban Design",https://peterelliott.com.au,Melbourne,Victoria,Architect
info@chamberlainarchitects.com.au,"Chamberlain Architects",http://www.cjarch.com.au,Collingwood,Victoria,Architect
christchurch@buchangroup.co.nz,"Buchan Melbourne",https://www.buchangroup.com,Australia,Australia,Architect
info@dock4.com.au,"Dock 4",http://www.dock4.com.au,Hobart,Tasmania,Architects
mail@tim-spicer.com,"Tim Spicer Architects",http://tim-spicer.com,Australia,Australia,Architect
woodsbagotbrisbane@woodsbagot.com,"Woods Bagot",http://www.woodsbagot.com,Melbourne,Victoria,Architect
rbi@rbiarchitects.com.au,"RBi Architects Melbourne",http://www.rbiarchitects.com.au,Australia,Victoria,Architect
office@dorio.com.au,"D’Orio Architects and Interior Designers",http://www.dorio.com.au,Melbourne,Victoria,Architect
studio@clarecousins.com.au,"Clare Cousins Architects",http://clarecousins.com.au,Australia,Australia,Architect
maddison@maddisonarchitects.com.au,"Maddison Architects PTY Ltd.",http://www.maddisonarchitects.com.au,"South Melbourne",Victoria,Architect
recruitment@cotteeparker.com.au,"Cottee Parker Architects",http://cotteeparker.com.au,"Port Melbourne",Victoria,Architect
mabel@squillace.com.au,"Squillace Architects",http://www.squillace.com.au,Australia,Australia,Architect
office@b-k-k.com.au,"Knott Black PTY LTD",http://b-k-k.com.au,Melbourne,Victoria,Architect
office@mvsarchitects.com.au,"MvS Architects",http://www.mvsarchitects.com.au,Australia,Australia,Architect
aa@aaarchitects.com.au,"Adrian Amore Architects",https://www.aaarchitects.com.au,Fitzroy,Victoria,Architect
kennels@nspc.com.au,"HSPC Health Architects",http://www.hspc.com.au,Melbourne,Victoria,Architect
info@michaeltaylorarchitects.com.au,"Michael Taylor Architecture & Heritage",http://michaeltaylorarchitects.com.au,Australia,Australia,Architect
